Model,accuracy,f1,roc_auc,log_loss,threshold,bases
TFIDF_LogReg,0.6298666666666667,0.3702359346642468,0.691181258383124,0.6133505366757614,,
SBERT_ZeroShot,0.7641333333333333,0.7267109531901745,0.8632264739056213,0.722002832909268,0.75,
SBERT_FineTuned,0.7389333333333333,0.7214793741109531,0.8587955737105231,0.7261817278970661,0.7,
SBERT_HardNeg,0.7125333333333334,0.6850715746421268,0.8222283105718816,0.59858391762814,0.55,
LightGBM,0.6293333333333333,0.0,0.9994100567004025,0.49509468722107824,,
XGBoost,0.9989333333333333,0.9985632183908046,0.9993528990367029,0.008819876690407813,,
Stacked_Ridge,0.9989333333333333,0.9985632183908046,0.9995392330203634,0.008011458566919013,,"['tfidf_logreg', 'sbert_zero_raw', 'sbert_ft_raw', 'sbert_hn_raw', 'lgbm_prob', 'xgb_prob']"
