Model,Val Accuracy,Test Accuracy,Test F1
TF-IDF Baseline,64.53333333333333,64.53333333333333,42.94950738916256
SBERT Zero-Shot,77.02666666666667,77.02666666666667,49.557522123893804
Previous Ensemble (786 feat),79.88,79.94666666666667,67.24738675958189
LightGBM (801 feat),68.16,67.84,23.42857142857143
XGBoost (801 feat),68.62666666666667,68.37333333333333,25.642633228840122
Random Forest (801 feat),69.0,68.66666666666667,26.83686176836862
Gradient Boosting (801 feat),68.62666666666667,68.38666666666666,25.790297339593117
Logistic Reg (801 feat),71.81333333333333,71.39999999999999,38.8366124893071
🎯 ULTRA ENSEMBLE (801 feat),85.46666666666667,85.28,80.40468583599574
