Model,accuracy,f1,roc_auc,log_loss,threshold,bases
TFIDF_LogReg,0.6227169710705239,0.33317624882186614,0.6846730664610443,0.6197273609163652,,
SBERT_ZeroShot,0.7668310891881083,0.7402346650824299,0.8692892921418003,0.6987056768551305,0.72,
LightGBM,0.7489668044260765,0.6450518378887842,0.8381670981791141,0.4571745024010192,,
XGBoost,0.7485668577522997,0.6422610015174507,0.837574727339501,0.45950606512283104,,
Stacked_Ridge,0.8132249033462206,0.755880815473079,0.9003048143988517,0.4035024328905067,,"['tfidf_logreg', 'sbert_zero_raw', 'lgbm_prob', 'xgb_prob']"
